
# SID	@(#) links.txt 1.8 22/10/10 20:00:20

# name | description
#------+----------------------------------------------------------------------+
POODLE	https://www.openssl.org/~bodo/ssl-poodle.pdf  https://www.imperialviolet.org/2014/10/14/poodle.html  https://www.imperialviolet.org/2014/12/08/poodleagain.html
RACCOON	?
ROCA	https://crocs.fi.muni.cz/public/papers/rsa_ccs17
ROBOT	https://robotattack.org/
SHAttered	https://shattered.io
SLOTH	https://www.mitls.org/pages/attacks/SLOTH
SKIP	https://mitls.org/pages/attacks/SMACK
SMACK	https://mitls.org/pages/attacks/SMACK  https://www.smacktls.com/
Sweet32	https://sweet32.info/  https://www.openssl.org/blog/blog/2016/08/24/sweet32/
TIME	?

# TS 102 042 : http://
    #
    #        http://rsapss.hboeck.de/rsapss-1.0.1.pdf
    #        https://www.bsi.bund.de/DE/Themen/weitereThemen/SINA/sina_node.html
    #        http://datatracker.ietf.org/doc/draft-eastlake-additional-xmlsec-uris/
# Firefox Add-ons
    #        https://calomel.org/firefox_ssl_validation.htm  Calomel SSL Validation
    #        https://addons.mozilla.org/de/firefox/addon/cert-viewer-plus/   Cert Viewer Plus
    #
    #        http://patrol.psyced.org/       Certifiate Patrol
    #        certwatch.simos.info            CertWatch
    #
